"","x"
"1007_s_at",-0.67419214067505
"1053_at",0.518031686482654
"117_at",-0.0864563602690938
"121_at",-0.0442746924815491
"1255_g_at",0.0264305482138525
"1294_at",0.0227458118021397
"1316_at",-0.0761496235090879
"1320_at",-0.167146285789217
"1405_i_at",1.3419503998671
"1431_at",0.943774780334511
"1438_at",-0.285097415133904
"1487_at",-0.494043460790994
"1494_f_at",0.0361547068295955
"1552256_a_at",-0.150730275613574
"1552257_a_at",-0.205396436548911
"1552258_at",0.496080416254836
"1552261_at",-0.046074585197923
"1552263_at",-1.14967573367161
"1552264_a_at",-0.424267150518832
"1552266_at",0.0383364117823648
"1552269_at",0.120669152671734
"1552271_at",-0.0080924124839834
"1552272_a_at",0.107954332160759
"1552274_at",0.0664355182086043
"1552275_s_at",0.126030748207945
"1552276_a_at",-0.0370092508065936
"1552277_a_at",0.230772970323297
"1552278_a_at",-0.389300313593404
"1552279_a_at",-0.212861756625029
"1552280_at",-0.10528660809234
"1552281_at",0.052309847426482
"1552283_s_at",0.171412377206196
"1552286_at",0.441456466513403
"1552287_s_at",-0.0999243362726201
"1552288_at",0.0659045601706509
"1552289_a_at",0.170234486595598
"1552291_at",-0.567356619211703
"1552293_at",0.0929658304887626
"1552295_a_at",-0.0830377511566587
"1552296_at",-0.04095604699675
"1552299_at",-0.542402061374841
"1552301_a_at",0.985854210066837
"1552302_at",-0.181355400518701
"1552303_a_at",-0.182106881125666
"1552304_at",-0.225003701727887
"1552306_at",0.416042768697278
"1552307_a_at",0.340600510890538
"1552309_a_at",-0.225713587034956
"1552310_at",0.79936688905452
"1552311_a_at",-0.149353520751919
"1552312_a_at",-0.286477048480852
"1552314_a_at",0.127128849638592
"1552315_at",-0.0987630354753817
"1552316_a_at",-0.115050633963991
"1552318_at",-0.0725094795944381
"1552319_a_at",0.0671919809746253
"1552320_a_at",0.1398459513893
"1552321_a_at",0.119816585345889
"1552322_at",0.0307132855695178
"1552323_s_at",0.301837281715784
"1552325_at",-0.138996381071911
"1552326_a_at",-0.128472681684789
"1552327_at",-0.0965159203865014
"1552329_at",0.63094339596843
"1552330_at",0.576360936348881
"1552332_at",-0.0915331810464952
"1552334_at",-0.16622051353774
"1552335_at",0.200086195615885
"1552337_s_at",-0.166056399805199
"1552338_at",-0.0102222727835155
"1552340_at",0.0948385433375032
"1552343_s_at",0.148587422378631
"1552344_s_at",0.176928173327706
"1552347_at",-0.458046853396862
"1552348_at",0.0840682976627534
"1552349_a_at",0.0864477252654892
"1552354_at",-0.147383488506049
"1552355_s_at",-0.0589343563651106
"1552359_at",-0.010606168925368
"1552360_a_at",-0.260366846683845
"1552362_a_at",0.217492119978581
"1552364_s_at",0.379722930733947
"1552365_at",-0.457771699021657
"1552367_a_at",-0.376219258574017
"1552368_at",-0.592158385023326
"1552370_at",-0.656609108049597
"1552372_at",0.0472554875187616
"1552373_s_at",-0.110355862778913
"1552375_at",-0.0783063855309365
"1552377_s_at",-0.125444923414674
"1552378_s_at",-0.168806543236529
"1552379_at",-0.0400799405634236
"1552381_at",-0.313126016199281
"1552383_at",-0.176806859665644
"1552384_a_at",-0.0485860292982325
"1552386_at",-0.0264914302527863
"1552388_at",-0.0301864416906268
"1552389_at",-0.112431071447179
"1552390_a_at",-0.107290572973699
"1552391_at",-0.101197969442294
"1552393_at",-0.0690497016613265
"1552394_a_at",-0.128022195583962
"1552395_at",0.0617930298193023
"1552396_at",-0.0673470097348154
"1552398_a_at",-0.00729560041715072
"1552399_a_at",-0.0137079299725347
"1552400_a_at",0.114823693080617
"1552401_a_at",-0.151480055022043
"1552402_at",0.0970886830298605
"1552405_at",-0.0569052674195918
"1552408_at",0.0365325990617844
"1552409_a_at",-0.104953083684264
"1552410_at",-0.0561269029253673
"1552411_at",-0.220245061601204
"1552412_a_at",-0.00240904373023909
"1552414_at",-0.0819275781449793
"1552415_a_at",0.00639879376260577
"1552417_a_at",1.16664276160761
"1552418_at",-0.0387772481698159
"1552419_s_at",-0.0873606635445459
"1552421_a_at",0.00935013814938301
"1552422_at",0.0462083333848149
"1552423_at",0.14237194191562
"1552424_at",-0.111815929481849
"1552425_a_at",0.0845214865972368
"1552426_a_at",0.210268577388042
"1552427_at",-0.148897730467422
"1552430_at",0.0092899150275354
"1552432_at",0.00554993544596449
"1552436_a_at",0.030512585672696
"1552438_a_at",0.0466645622592656
"1552439_s_at",-0.146025005929961
"1552440_at",-0.191703145242336
"1552445_a_at",0.115647951423266
"1552448_a_at",-0.0685784315013347
"1552449_a_at",-0.0929263159211526
"1552450_a_at",-0.00660703285678732
"1552452_at",-0.11164692967853
"1552453_a_at",-0.0475601395136058
"1552455_at",0.00596658789677207
"1552456_a_at",-0.162591489437301
"1552457_a_at",-0.145926143591815
"1552458_at",-0.00180143423761869
"1552459_a_at",-0.0548306024298784
"1552461_at",0.0341196182142971
"1552463_at",-0.0540177670576307
"1552466_x_at",-0.14605180161889
"1552467_at",-0.102372404670006
"1552468_a_at",0.0606882327084595
"1552470_a_at",0.0698954050211595
"1552472_a_at",-0.662517824280416
"1552473_at",0.00842129174653117
"1552474_a_at",0.236007879656457
"1552476_s_at",0.138916287314542
